site,igbp,hour,obs,air,soil
US-ARM,CRO,0,1.2134430175687576,1.0990995110847006,1.109690975696574
US-ARM,CRO,1,1.150225743040606,1.0743266425932183,1.0928741922374439
US-ARM,CRO,2,1.1329840515386425,1.0445863596312197,1.0784805002126678
US-ARM,CRO,3,1.1418865449001776,1.0187970565672464,1.0652126101640484
US-ARM,CRO,4,1.1354949181248022,0.9997133520703647,1.0529471429869022
US-ARM,CRO,5,1.014711014462493,0.9469282476628657,1.0124478139733881
US-ARM,CRO,6,0.6981182954947927,0.7972373829999372,0.8657957654487947
US-ARM,CRO,7,0.41821075707461397,0.6732423710360433,0.750218334881833
US-ARM,CRO,8,0.5039100440641159,0.6665535399706495,0.722772583813276
US-ARM,CRO,16,0.8681018355249527,0.8405674226631579,0.8430105669671942
US-ARM,CRO,17,0.6209409179631639,0.9066861023472375,0.8381262281637555
US-ARM,CRO,18,0.8193419760689652,1.0194182078438556,0.924717517231763
US-ARM,CRO,19,1.237225085190482,1.2303405507987328,1.1159239510322294
US-ARM,CRO,20,1.3107023741965367,1.2306216123065796,1.1495761832410012
US-ARM,CRO,21,1.2721903048968841,1.1823737046583649,1.135887213149771
US-ARM,CRO,22,1.2522931713864691,1.1494279448454232,1.1267933200514197
US-ARM,CRO,23,1.2102199485035459,1.120079990920405,1.1155251007479394
US-Bar,DBF,0,1.20263518678655,1.0311241501972364,1.0270528074448344
US-Bar,DBF,1,1.1749264132787678,1.0211692738002383,1.028272918544899
US-Bar,DBF,2,1.0847835029627841,0.9961184423144646,1.0143807649535905
US-Bar,DBF,3,1.1457989285673535,1.0114337764141341,1.025427450491693
US-Bar,DBF,4,1.0777480391003673,0.986608389119208,1.0100907628911193
US-Bar,DBF,5,0.8861832974912167,0.8926106199037839,0.95065280485404
US-Bar,DBF,6,0.6931625417485155,0.8044286841225978,0.9012792899508884
US-Bar,DBF,7,0.5584035436795841,0.7361913771970627,0.8514973781916312
US-Bar,DBF,15,0.6608630077605405,0.9325524008740541,0.9289196505049198
US-Bar,DBF,16,0.7076801763775576,0.9514344025005593,0.9584334329359887
US-Bar,DBF,17,0.8014453077946786,1.001284052123738,0.9826201533278385
US-Bar,DBF,18,0.9690406330384823,1.12573134665756,1.0420155968129643
US-Bar,DBF,19,1.211720104606222,1.1976160954463568,1.1028557180022909
US-Bar,DBF,20,1.2683618563357655,1.1264727686051943,1.067942390679954
US-Bar,DBF,21,1.2129024679119418,1.0865440047881658,1.0455763278030867
US-Bar,DBF,22,1.1567059012475658,1.0534187258805368,1.0302534288967966
US-Bar,DBF,23,1.1876390913121073,1.0452614900551114,1.0327291237134664
US-GLE,ENF,0,1.083931327713511,1.0805589526971935,1.0285754968398424
US-GLE,ENF,1,1.0712585406934734,1.0773564773693431,1.0241537786643085
US-GLE,ENF,2,1.059688242357161,1.082175308392232,1.0214204565823761
US-GLE,ENF,3,1.0412793883701243,1.079720595186333,1.017922547310379
US-GLE,ENF,4,1.0253134833529367,1.0720444727272267,1.0138012913590986
US-GLE,ENF,5,0.906414819540095,0.956698831667865,0.9773611122275291
US-GLE,ENF,6,0.7955059529594007,0.8141721861599042,0.9236119678469774
US-GLE,ENF,7,0.9076854443583248,0.7417419135325352,0.9166345471588654
US-GLE,ENF,16,0.8164316223274828,0.8136712561049565,0.9278126704189681
US-GLE,ENF,17,0.7942574273495794,0.8780450728552183,0.9458331075722132
US-GLE,ENF,18,0.9419289681314441,0.980002823902157,0.9981491817878998
US-GLE,ENF,19,1.1222103185386387,1.0996256451237365,1.0531286106056668
US-GLE,ENF,20,1.1140360860288088,1.0888027901113209,1.0447273374519466
US-GLE,ENF,21,1.1068924928141748,1.0779443460304858,1.038315938050741
US-GLE,ENF,22,1.0991607016439604,1.0795166197100334,1.0364520046488284
US-GLE,ENF,23,1.114005183820886,1.0779227084294585,1.0320999514743607
US-Ho1,ENF,0,1.18709072193539,1.0157119051517138,1.0237620611825835
US-Ho1,ENF,1,1.02870957425603,0.9741550038341238,1.0045692956657695
