site,igbp,nhours,npts,rmse_air,rmse_soil,winner,obs_amp,air_amp,soil_amp
US-ARM,CRO,17,41132,0.13758907554381367,0.14528725295637976,air,0.8924916171219227,0.5640680723359301,0.42680359942772517
US-Bar,DBF,17,29564,0.1526752545813764,0.17194709652891374,air,0.7099583126561814,0.4614247182492941,0.2513583398106597
US-GLE,ENF,16,40538,0.054071785463709075,0.07599812922547114,air,0.32795289118905935,0.35788373159120135,0.13649406344680137
US-Ho1,ENF,15,5029,0.18594253174959618,0.19839806050675535,air,0.7897542311439967,0.36624694311202155,0.17398999481215194
US-KFS,GRA,17,21060,0.11738288032945399,0.10870070175778654,soil,0.582046337773786,0.4592645432871989,0.34393889721080173
US-KLS,GRA,15,2737,0.21471614446057755,0.18384215106599766,soil,0.9499640517565041,0.497908856934031,0.4515962800966409
US-Los,WET,18,17412,0.23917026870229927,0.24833533438953065,air,1.0630739351571417,0.41289389277105304,0.2776863152289569
US-MOz,DBF,18,27989,0.26504642566744446,0.2406760914584194,soil,0.9043125145889723,0.42227541282685555,0.23395783406288428
US-NC1,ENF,15,4578,0.08986220255016208,0.08026273773651554,soil,0.3780025538376105,0.31591125909655116,0.1812226767259315
US-NC2,ENF,16,11166,0.06750096208025384,0.04458966305830305,soil,0.37622843500480885,0.45323020351884513,0.3088917077572043
US-NC3,ENF,16,3726,0.08123626808351021,0.0633363631560827,soil,0.3838644666169928,0.4688743075609705,0.3464552731915974
US-NC4,WET,15,3021,0.1422591353094252,0.13243289109018114,soil,0.6597579458606,0.20698106766173008,0.17794725915759146
US-NR1,ENF,17,79898,0.18954682289125013,0.2355287954483911,air,0.8050080182112934,0.28973927471014305,0.14760853964754372
US-Ton,WSA,18,41514,0.573889429604402,0.5869995496703773,air,1.8611018286083034,0.4644270916443951,0.41793971137960595
